Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0603_1608Metric",54.246000,-53.162200,-90.000000,top
"C2","100nF","C_0603_1608Metric",52.468000,-54.432200,-90.000000,top
"IC_IOEXP1","~","SOP50P810X120-56N",42.906200,-41.068400,-90.000000,top
"IC_IOEXP2","~","SOP50P810X120-56N",42.906200,-70.844000,-90.000000,top
"IC_MCU1","~","SOIC-16_3.9x9.9mm_Pitch1.27mm",46.430400,-55.956200,0.000000,top
"J1","Conn_01x20","PinHeader_1x20_P1.00mm_Vertical",56.159400,-27.990800,-90.000000,top
"J2","Conn_01x20","PinHeader_1x20_P1.00mm_Vertical",28.675800,-52.096200,180.000000,top
"J3","Conn_01x20","PinHeader_1x20_P1.00mm_Vertical",28.701200,-76.301600,180.000000,top
"J4","Conn_01x20","PinHeader_1x20_P1.00mm_Vertical",37.159400,-83.896200,90.000000,top
"J_USB1","~","USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A",61.464000,-56.718200,90.000000,top
"R_ADDR1","1-10k","R_0603_1608Metric",36.854600,-54.928000,-90.000000,top
"R_CC1","5.1k","R_0603_1608Metric",62.508600,-63.855600,-90.000000,top
"R_CC2","5.1k","R_0603_1608Metric",57.986000,-50.315200,180.000000,top
"R_I2C1","1-10k","R_0603_1608Metric",41.375800,-52.400200,90.000000,top
"R_I2C2","1-10k","R_0603_1608Metric",41.325000,-59.486800,-90.000000,top
"R_PROG1","10k","R_0603_1608Metric",56.285600,-73.202800,180.000000,top
"SW_PROG1","~","SW_Push_1P1T_NO_6x6mm_H9.5mm",58.048800,-67.373400,90.000000,top
